pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1002.0,31,25.0,24.1,180.0,6.0,-7.347880794884119e-16,6.0,,43285,1980-06-03,12.94,74.83,31.0,61.71
1000.0,53,24.6,24.0,180.0,6.0,-7.347880794884119e-16,6.0,,43285,1980-06-03,12.94,74.83,31.0,61.71
864.0,1324,18.0,18.0,211.0,22.0,11.330837648021191,18.857680615446473,,43285,1980-06-03,12.94,74.83,31.0,61.71
850.0,1464,17.6,17.2,215.0,24.0,13.765834472425109,19.659649062935802,,43285,1980-06-03,12.94,74.83,31.0,61.71
773.0,2275,15.4,12.6,222.0,24.0,16.059134552612598,17.835475811457464,,43285,1980-06-03,12.94,74.83,31.0,61.71
700.0,3110,10.6,5.6,230.0,23.0,17.61902219173649,14.784115022790408,,43285,1980-06-03,12.94,74.83,31.0,61.71
680.0,3351,9.4,3.4,226.0,22.0,15.825475607450326,15.28248415009794,,43285,1980-06-03,12.94,74.83,31.0,61.71
600.0,4374,1.0,-1.6,209.0,18.0,8.726573164434065,15.743154728509126,,43285,1980-06-03,12.94,74.83,31.0,61.71
590.0,4509,0.0,-2.3,207.0,17.0,7.717838495572294,15.147110911202255,,43285,1980-06-03,12.94,74.83,31.0,61.71
500.0,5820,-6.1,-6.8,185.0,11.0,0.9587131702242374,10.9581416790092,,43285,1980-06-03,12.94,74.83,31.0,61.71
493.0,5931,-6.5,-7.3,186.0,11.0,1.1498130959441886,10.939740849051006,,43285,1980-06-03,12.94,74.83,31.0,61.71
400.0,7540,-15.7,-19.3,200.0,7.0,2.394141003279681,6.5778483455013586,,43285,1980-06-03,12.94,74.83,31.0,61.71
300.0,9650,-28.5,-34.5,175.0,6.0,-0.5229344564859492,5.977168188550474,,43285,1980-06-03,12.94,74.83,31.0,61.71
250.0,10940,-36.9,-43.9,215.0,8.0,4.588611490808369,6.553216354311934,,43285,1980-06-03,12.94,74.83,31.0,61.71
235.0,11367,-40.1,-47.1,190.0,7.0,1.2155372436685132,6.893654271085456,,43285,1980-06-03,12.94,74.83,31.0,61.71
200.0,12450,-49.7,,125.0,6.0,-4.91491226573395,3.441458618106277,,43285,1980-06-03,12.94,74.83,31.0,61.71
150.0,14266,-65.2,,,,,,,43285,1980-06-03,12.94,74.83,31.0,61.71
125.0,15370,-74.5,,,,,,,43285,1980-06-03,12.94,74.83,31.0,61.71
100.0,16703,-70.7,,,,,,,43285,1980-06-03,12.94,74.83,31.0,61.71
92.0,17154,-89.3,,105.0,53.0,-51.19406879332062,13.717409390433605,,43285,1980-06-03,12.94,74.83,31.0,61.71
70.0,18600,-78.7,,75.0,59.0,-56.98962375105503,-15.270323661048725,,43285,1980-06-03,12.94,74.83,31.0,61.71
