pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1004.0,31,22.8,22.5,360.0,6.0,1.4695761589768238e-15,-6.0,,43285,1980-06-01,12.94,74.83,31.0,58.73
1000.0,66,22.8,22.2,20.0,8.0,-2.7361611466053497,-7.517540966287267,,43285,1980-06-01,12.94,74.83,31.0,58.73
903.0,956,21.8,18.6,26.0,14.0,-6.137196055047084,-12.583116648188339,,43285,1980-06-01,12.94,74.83,31.0,58.73
850.0,1481,20.4,13.4,30.0,17.0,-8.499999999999998,-14.722431864335459,,43285,1980-06-01,12.94,74.83,31.0,58.73
740.0,2667,14.6,8.6,9.0,13.0,-2.0336480455230013,-12.839948427736791,,43285,1980-06-01,12.94,74.83,31.0,58.73
700.0,3134,10.6,5.8,360.0,11.0,2.6942229581241772e-15,-11.0,,43285,1980-06-01,12.94,74.83,31.0,58.73
644.0,3821,5.2,1.6,7.0,11.0,-1.3405627774566222,-10.918007668054543,,43285,1980-06-01,12.94,74.83,31.0,58.73
600.0,4396,2.2,-0.1,14.0,11.0,-2.661140851596345,-10.67325298903596,,43285,1980-06-01,12.94,74.83,31.0,58.73
565.0,4879,0.0,-1.7,19.0,12.0,-3.9068178534858804,-11.346222907191802,,43285,1980-06-01,12.94,74.83,31.0,58.73
500.0,5850,-3.9,-5.3,30.0,12.0,-5.999999999999999,-10.392304845413264,,43285,1980-06-01,12.94,74.83,31.0,58.73
475.0,6255,-5.5,-6.9,30.0,13.0,-6.499999999999999,-11.258330249197703,,43285,1980-06-01,12.94,74.83,31.0,58.73
400.0,7590,-12.9,-16.1,30.0,17.0,-8.499999999999998,-14.722431864335459,,43285,1980-06-01,12.94,74.83,31.0,58.73
367.0,8244,-16.7,-20.5,21.0,13.0,-4.658783344088904,-12.136545544463623,,43285,1980-06-01,12.94,74.83,31.0,58.73
300.0,9730,-28.3,-33.3,360.0,4.0,9.797174393178826e-16,-4.0,,43285,1980-06-01,12.94,74.83,31.0,58.73
250.0,11010,-38.5,-45.5,31.0,5.0,-2.575190374550271,-4.285836503510562,,43285,1980-06-01,12.94,74.83,31.0,58.73
249.0,11037,-39.5,-46.5,32.0,5.0,-2.6495963211660243,-4.24024048078213,,43285,1980-06-01,12.94,74.83,31.0,58.73
200.0,12500,-50.5,,70.0,7.0,-6.5778483455013586,-2.3941410032796817,,43285,1980-06-01,12.94,74.83,31.0,58.73
150.0,14310,-65.9,,105.0,15.0,-14.488887394336025,3.882285676537813,,43285,1980-06-01,12.94,74.83,31.0,58.73
136.0,14974,-17.5,,,,,,,43285,1980-06-01,12.94,74.83,31.0,58.73
